"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"2371 Dimitrov (1975 VR3)","04:46:05.70","+22 30'28.6""","8.0e+3","2.0e+4","2.3e+4","17.0","2.1e+1","2.4e+0","2371","a0002371"
"2515 Gansu (1964 TX1)","04:53:29.01","+22 24'44.8""","1.0e+4","2.0e+4","2.6e+4","17.4","2.3e+1","6.9e+0","2515","a0002515"
"2530 Shipka (1978 NC3)","04:24:39.59","+14 59'53.1""","-1.0e+4","-5.0e+3","1.2e+4","17.1","1.2e+1","-8.9e+0","2530","a0002530"
"2556 Louise (1981 CS)","05:02:25.75","+19 04'48.9""","2.0e+4","9.0e+3","2.4e+4","17.2","3.4e+1","1.7e+0","2556","a0002556"
"2571 Geisei (1981 UC)","04:58:47.35","+21 14'07.8""","2.0e+4","2.0e+4","2.5e+4","16.5","3.6e+1","7.8e+0","2571","a0002571"
"2585 Irpedina (1979 OJ15)","04:32:19.67","+12 23'52.9""","-4.0e+3","-1.0e+4","1.5e+4","15.3","3.8e+1","-3.6e+0","2585","a0002585"
"2681 Ostrovskij (1975 VF2)","04:35:03.60","+20 25'48.6""","-2.0e+3","1.0e+4","1.4e+4","17.0","2.0e+1","5.8e+0","2681","a0002681"
"2828 Iku-Turso (1942 DL)","04:20:43.60","+18 50'32.8""","-1.0e+4","9.0e+3","1.6e+4","16.7","2.4e+1","6.3e+0","2828","a0002828"
"2834 Christy Carol (1980 TB4)","04:46:13.80","+19 11'09.6""","8.0e+3","1.0e+4","1.3e+4","16.2","2.6e+1","-4.1e+0","2834","a0002834"
"2837 Griboedov (1971 TJ2)","04:29:22.13","+21 01'31.1""","-6.0e+3","2.0e+4","1.8e+4","16.9","1.4e+1","4.6e+0","2837","a0002837"
"2851 Harbin (1978 UQ2)","04:17:00.13","+19 37'27.4""","-2.0e+4","1.0e+4","2.0e+4","16.0","2.0e+1","1.3e+1","2851","a0002851"
"2863 Ben Mayer (1981 QG2)","04:23:28.98","+19 09'46.6""","-1.0e+4","1.0e+4","1.5e+4","17.5","9.3e+0","1.0e+0","2863","a0002863"
"3251 Eratosthenes (6536 P-L)","04:40:27.17","+21 14'42.4""","3.0e+3","2.0e+4","1.7e+4","17.7","1.7e+1","2.5e+0","3251","a0003251"
"3276 Porta Coeli (1982 RZ1)","04:17:48.15","+19 53'27.7""","-2.0e+4","1.0e+4","2.0e+4","17.1","1.4e+1","4.4e+0","3276","a0003276"
"3303 Merta (1967 UN)","04:24:15.60","+21 27'27.6""","-1.0e+4","2.0e+4","2.1e+4","17.1","9.5e+0","4.3e+0","3303","a0003303"
"3312 Pedersen (1984 SN)","04:12:33.63","+18 20'44.8""","-2.0e+4","7.0e+3","2.2e+4","16.5","8.7e+0","-6.6e+0","3312","a0003312"
"3424 Nusl (1982 CD)","05:00:58.65","+13 59'57.1""","2.0e+4","-9.0e+3","2.3e+4","17.1","2.7e+1","-4.9e+0","3424","a0003424"
"3543 Ningbo (1964 VA3)","04:57:20.30","+21 28'08.8""","2.0e+4","2.0e+4","2.5e+4","18.2","8.2e+0","6.7e-1","3543","a0003543"
"3663 Tisserand (1985 GK1)","04:56:59.00","+20 01'47.3""","2.0e+4","1.0e+4","2.1e+4","19.0","7.9e+0","6.5e-1","3663","a0003663"
"3681 Boyan (1974 QO2)","04:26:17.81","+15 49'15.1""","-9.0e+3","-2.0e+3","9.4e+3","17.4","1.5e+1","-1.9e+0","3681","a0003681"
"3687 Dzus (A908 TC)","04:34:32.92","+20 35'51.7""","-2.0e+3","1.0e+4","1.5e+4","15.9","1.7e+1","-1.2e+1","3687","a0003687"
"3762 Amaravella (1976 QN1)","04:57:11.82","+20 49'58.4""","2.0e+4","2.0e+4","2.3e+4","17.5","3.0e+1","2.0e+0","3762","a0003762"
"3868 Mendoza (4575 P-L)","05:02:51.81","+13 26'17.3""","2.0e+4","-1.0e+4","2.5e+4","16.6","3.1e+1","-9.3e+0","3868","a0003868"
"3927 Feliciaplatt (1981 JA2)","04:18:52.71","+22 48'25.9""","-2.0e+4","2.0e+4","2.7e+4","18.1","1.2e+1","3.0e+0","3927","a0003927"
"3930 Vasilev (1982 UV10)","04:27:13.33","+22 07'42.1""","-8.0e+3","2.0e+4","2.2e+4","18.6","4.4e+0","2.3e+0","3930","a0003930"
"3944 Halliday (1981 WP1)","05:00:03.95","+19 07'50.0""","2.0e+4","1.0e+4","2.2e+4","17.1","3.0e+1","9.4e+0","3944","a0003944"
"3973 Ogilvie (1981 UC1)","04:16:17.12","+20 01'11.9""","-2.0e+4","1.0e+4","2.2e+4","16.9","1.2e+1","4.1e+0","3973","a0003973"
"4206 Verulamium (1986 QL)","04:29:49.03","+22 17'09.9""","-6.0e+3","2.0e+4","2.2e+4","17.6","1.1e+1","2.2e+0","4206","a0004206"
"4225 Hobart (1989 BN)","05:00:42.35","+21 51'02.6""","2.0e+4","2.0e+4","2.8e+4","17.1","2.7e+1","6.6e+0","4225","a0004225"
"4345 Rachmaninoff (1988 CM2)","04:13:03.38","+17 24'01.9""","-2.0e+4","3.0e+3","2.1e+4","17.6","8.2e+0","-5.0e-1","4345","a0004345"
"4347 Reger (1988 PK2)","04:27:34.99","+21 19'53.3""","-8.0e+3","2.0e+4","1.9e+4","18.1","7.0e+0","1.8e+0","4347","a0004347"
"4410 Kamuimintara (1989 YA)","04:20:15.76","+22 38'23.4""","-1.0e+4","2.0e+4","2.6e+4","17.1","8.2e+0","1.1e+1","4410","a0004410"
"4444 Escher (1985 SA)","05:04:21.99","+13 57'02.8""","2.0e+4","-9.0e+3","2.6e+4","18.1","2.2e+1","-2.4e+0","4444","a0004444"
"4481 Herbelin (1985 RR)","04:12:34.74","+19 14'36.8""","-2.0e+4","1.0e+4","2.3e+4","17.2","2.5e+1","6.2e+0","4481","a0004481"
"4496 Kamimachi (1988 XM1)","04:55:36.46","+16 56'28.0""","2.0e+4","2.0e+3","1.6e+4","18.1","1.9e+1","-2.6e+0","4496","a0004496"
"4563 Kahnia (1980 OG)","05:01:49.00","+16 00'20.8""","2.0e+4","-2.0e+3","2.2e+4","16.9","3.7e+1","-1.0e+0","4563","a0004563"
"4607 Seilandfarm (1987 WR)","04:19:12.06","+22 51'12.6""","-2.0e+4","2.0e+4","2.7e+4","17.2","1.9e+1","3.7e+0","4607","a0004607"
"4678 Ninian (1990 SS4)","04:24:53.74","+22 37'20.7""","-1.0e+4","2.0e+4","2.4e+4","16.8","2.8e+1","1.4e+1","4678","a0004678"
"4892 Chrispollas (1985 TV2)","04:18:53.97","+18 37'36.8""","-2.0e+4","8.0e+3","1.7e+4","17.1","1.6e+1","-6.5e+0","4892","a0004892"
"5033 Mistral (1990 PF)","04:16:42.56","+18 05'15.6""","-2.0e+4","6.0e+3","1.8e+4","17.7","6.4e+0","-5.4e-1","5033","a0005033"
"5097 Axford (1983 TW1)","04:32:39.19","+16 55'54.5""","-4.0e+3","2.0e+3","4.0e+3","18.1","1.0e+1","-8.0e-1","5097","a0005097"
"5109 Robertmiller (1987 RM1)","04:12:02.38","+16 09'31.4""","-2.0e+4","-1.0e+3","2.1e+4","17.9","1.1e+1","-2.2e+0","5109","a0005109"
"5297 Schinkel (4170 T-2)","04:56:17.03","+13 40'00.2""","2.0e+4","-1.0e+4","2.0e+4","17.2","3.8e+1","-5.5e+0","5297","a0005297"
"5307 Paul-Andre (1980 YC)","04:56:41.87","+20 58'46.6""","2.0e+4","2.0e+4","2.3e+4","17.7","3.4e+1","1.2e+1","5307","a0005307"
"5336 Kley (1991 JE1)","04:46:04.42","+10 54'25.9""","8.0e+3","-2.0e+4","2.2e+4","18.0","7.3e+0","-8.3e+0","5336","a0005336"
"5355 Akihiro (1991 CA)","04:37:41.64","+21 29'29.0""","7.2e+2","2.0e+4","1.8e+4","17.9","1.4e+1","2.0e+0","5355","a0005355"
"5459 Saraburger (1981 QP3)","04:27:51.41","+20 03'45.7""","-8.0e+3","1.0e+4","1.5e+4","18.1","9.1e+0","2.8e+0","5459","a0005459"
"5477 Holmes (1989 UH2)","04:34:38.25","+16 02'14.0""","-2.0e+3","-2.0e+3","2.5e+3","17.1","2.0e+1","3.4e+1","5477","a0005477"
"5504 Lanzerotti (1985 FC2)","04:35:17.59","+19 08'24.5""","-1.0e+3","1.0e+4","9.7e+3","17.6","1.1e+1","9.5e+0","5504","a0005504"
"5603 Rausudake (1992 CE)","05:00:17.38","+19 07'44.2""","2.0e+4","1.0e+4","2.2e+4","17.5","8.1e+0","-1.7e+0","5603","a0005603"
"5669 (1985 CC2)","04:10:35.68","+15 46'04.0""","-2.0e+4","-3.0e+3","2.3e+4","17.8","1.3e+1","-6.2e-1","5669","a0005669"
"5677 Aberdonia (1987 SQ1)","04:45:24.11","+21 19'20.5""","7.0e+3","2.0e+4","1.9e+4","17.5","1.9e+1","1.5e+0","5677","a0005677"
"5712 Funke (1979 SR)","04:08:50.30","+17 18'09.4""","-2.0e+4","3.0e+3","2.4e+4","17.4","1.0e+1","-7.5e+0","5712","a0005712"
"5923 Liedeke (1992 WC8)","04:47:50.87","+19 22'39.4""","9.0e+3","1.0e+4","1.4e+4","18.0","1.4e+1","1.7e+0","5923","a0005923"
"6076 Plavec (1980 CR)","05:03:03.11","+13 05'45.7""","2.0e+4","-1.0e+4","2.6e+4","18.4","1.3e+1","-4.8e+0","6076","a0006076"
"6088 Hoshigakubo (1988 UH)","04:21:51.14","+19 14'46.4""","-1.0e+4","1.0e+4","1.6e+4","18.4","6.6e+0","-1.4e+0","6088","a0006088"
"6144 Kondojiro (1994 EQ3)","04:35:29.04","+16 38'25.4""","-1.0e+3","5.9e+2","1.3e+3","20.1","-6.1e-1","-1.3e+0","6144","a0006144"
"6242 (1990 OJ2)","04:41:31.98","+19 07'50.0""","4.0e+3","1.0e+4","1.0e+4","17.2","3.7e+1","9.4e+0","6242","a0006242"
"6253 (1992 FJ)","04:58:30.12","+21 17'35.1""","2.0e+4","2.0e+4","2.5e+4","18.4","3.0e+1","-1.1e+0","6253","a0006253"
"6258 Rodin (3070 T-2)","04:31:03.15","+16 07'42.0""","-5.0e+3","-1.0e+3","5.2e+3","17.7","2.3e+1","-8.6e-1","6258","a0006258"
"6351 Neumann (4277 T-1)","04:17:11.99","+12 49'54.2""","-2.0e+4","-1.0e+4","2.2e+4","17.9","6.2e+0","-6.5e+0","6351","a0006351"
"6559 Nomura (1991 JP)","04:58:08.60","+17 28'18.3""","2.0e+4","4.0e+3","1.9e+4","19.1","1.3e+1","-7.4e+0","6559","a0006559"
"6627 (1981 FT)","04:10:53.70","+19 16'50.5""","-2.0e+4","1.0e+4","2.4e+4","18.0","1.3e+1","5.9e+0","6627","a0006627"
"6679 Gurzhij (1969 UP1)","04:08:47.43","+21 08'10.7""","-2.0e+4","2.0e+4","2.9e+4","17.5","1.7e+1","1.2e+1","6679","a0006679"
"6811 Kashcheev (1976 QP)","04:46:57.57","+22 09'05.4""","9.0e+3","2.0e+4","2.2e+4","18.9","1.7e+1","1.6e+0","6811","a0006811"
"6842 Krosigk (3016 P-L)","04:54:52.38","+22 50'48.3""","2.0e+4","2.0e+4","2.8e+4","18.4","2.5e+1","-5.9e+0","6842","a0006842"
"6887 Hasuo (1951 WH)","04:23:27.05","+20 09'59.0""","-1.0e+4","1.0e+4","1.8e+4","16.6","3.4e+1","1.5e+1","6887","a0006887"
"6912 Grimm (1991 GQ2)","04:52:51.79","+20 25'20.6""","1.0e+4","1.0e+4","2.0e+4","18.6","1.4e+1","1.9e-1","6912","a0006912"
"7057 Al-Farabi (1990 QL2)","05:02:59.70","+16 04'21.2""","2.0e+4","-1.0e+3","2.3e+4","17.3","4.0e+1","-4.1e+0","7057","a0007057"
"7208 Ashurbanipal (2645 P-L)","04:27:42.56","+19 06'01.5""","-8.0e+3","9.0e+3","1.2e+4","18.4","1.6e+1","2.3e+0","7208","a0007208"
"7214 Anticlus (1973 SM1)","04:51:04.51","+11 32'31.6""","1.0e+4","-2.0e+4","2.2e+4","19.3","4.7e+0","-6.5e+0","7214","a0007214"
"7284 (1989 VW)","04:32:03.47","+22 53'07.4""","-4.0e+3","2.0e+4","2.3e+4","17.5","9.5e+0","6.2e+0","7284","a0007284"
"7382 Bozhenkova (1981 RJ5)","04:12:06.55","+18 17'03.8""","-2.0e+4","7.0e+3","2.2e+4","17.5","1.6e+1","2.0e+0","7382","a0007382"
"7574 (1989 WO1)","04:52:31.43","+21 01'32.5""","1.0e+4","2.0e+4","2.1e+4","17.1","1.8e+1","9.6e+0","7574","a0007574"
"7691 Brady (3186 T-3)","04:25:32.08","+20 23'34.4""","-1.0e+4","1.0e+4","1.7e+4","17.6","3.6e+1","1.1e+1","7691","a0007691"
"7699 Bozek (1989 CB4)","04:49:32.57","+15 23'37.9""","1.0e+4","-4.0e+3","1.2e+4","18.2","3.7e+1","-4.9e+0","7699","a0007699"
"7807 Grier (1975 SJ1)","04:51:42.14","+13 00'54.1""","1.0e+4","-1.0e+4","1.8e+4","18.9","9.4e+0","-9.2e+0","7807","a0007807"
"7995 Khvorostovsky (1983 PX)","04:23:39.09","+15 52'14.2""","-1.0e+4","-2.0e+3","1.2e+4","18.2","8.3e+0","-8.2e+0","7995","a0007995"
"8164 Andreasdoppler (1990 UO3)","04:50:10.34","+17 46'22.1""","1.0e+4","5.0e+3","1.2e+4","18.4","2.6e+1","2.7e+0","8164","a0008164"
"8165 Gnadig (1990 WQ3)","04:18:53.95","+12 34'12.1""","-2.0e+4","-1.0e+4","2.1e+4","17.9","6.2e+0","-2.0e+0","8165","a0008165"
"8185 (1992 WR2)","04:38:15.52","+21 09'06.2""","1.0e+3","2.0e+4","1.7e+4","18.1","1.2e+1","3.8e+0","8185","a0008185"
"8253 Brunetto (1981 EU15)","04:49:00.19","+22 49'22.6""","1.0e+4","2.0e+4","2.5e+4","19.4","3.2e+1","3.5e-1","8253","a0008253"
"8274 Soejima (1990 TJ1)","04:56:38.73","+19 35'15.9""","2.0e+4","1.0e+4","2.0e+4","17.4","4.7e+1","9.0e+0","8274","a0008274"
