"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"24265 Banthonytwarog (1999 XU143)","04:59:39.08","+16 58'32.8""","2.0e+4","2.0e+3","2.0e+4","18.8","2.5e+1","2.0e+0","24265","a0024265"
"24269 Kittappa (1999 XL157)","04:16:00.29","+12 53'23.4""","-2.0e+4","-1.0e+4","2.2e+4","19.2","1.0e+1","-3.1e+0","24269","a0024269"
"24370 Marywang (2000 AX139)","04:52:50.16","+13 07'01.4""","1.0e+4","-1.0e+4","1.8e+4","19.0","2.6e+1","-3.7e+0","24370","a0024370"
"24381 (2000 AA166)","04:55:09.87","+22 40'42.5""","2.0e+4","2.0e+4","2.7e+4","18.7","1.5e+1","-6.0e+0","24381","a0024381"
"24413 Britneyschmidt (2000 AN243)","04:40:19.98","+13 49'34.0""","3.0e+3","-1.0e+4","1.0e+4","18.4","1.3e+1","-9.7e+0","24413","a0024413"
"24433 (2000 CF83)","04:53:42.80","+10 02'11.0""","1.0e+4","-2.0e+4","2.7e+4","18.1","1.4e+1","-7.2e+0","24433","a0024433"
"24450 Victorchang (2000 QC69)","04:43:49.15","+21 10'20.9""","6.0e+3","2.0e+4","1.8e+4","19.3","1.6e+1","3.8e+0","24450","a0024450"
"24509 Joycechai (2001 BT27)","04:30:22.60","+23 03'00.6""","-6.0e+3","2.0e+4","2.4e+4","20.9","9.0e+0","2.5e+0","24509","a0024509"
"24656 (1987 QT7)","04:23:15.95","+18 17'51.1""","-1.0e+4","7.0e+3","1.3e+4","18.6","2.6e+1","-9.7e-2","24656","a0024656"
"24722 (1991 TK)","04:41:14.33","+16 20'22.9""","4.0e+3","-4.9e+2","3.8e+3","18.5","2.0e+1","8.0e-1","24722","a0024722"
"24778 Nemsu (1993 KW1)","04:54:24.69","+14 12'21.4""","2.0e+4","-8.0e+3","1.7e+4","18.9","3.2e+1","-2.8e+1","24778","a0024778"
"24920 (1997 EE23)","04:24:11.52","+12 25'05.5""","-1.0e+4","-1.0e+4","1.8e+4","18.2","1.9e+1","2.9e-1","24920","a0024920"
"25046 Suyihan (1998 QK44)","04:59:39.49","+22 28'43.5""","2.0e+4","2.0e+4","2.9e+4","19.0","3.3e+1","7.0e+0","25046","a0025046"
"25191 Rachelouise (1998 SE123)","04:48:07.46","+18 01'36.8""","1.0e+4","6.0e+3","1.1e+4","19.1","1.8e+1","-4.9e+0","25191","a0025191"
"25200 (1998 SK139)","04:25:20.77","+18 10'01.1""","-1.0e+4","6.0e+3","1.2e+4","19.3","9.3e+0","-8.6e+0","25200","a0025200"
"25333 Britwenger (1999 KW13)","04:56:37.92","+15 52'45.9""","2.0e+4","-2.0e+3","1.7e+4","18.5","3.5e+1","5.8e-3","25333","a0025333"
"25439 (1999 WV6)","04:21:23.64","+19 14'02.9""","-1.0e+4","1.0e+4","1.7e+4","20.0","1.3e+1","8.5e-1","25439","a0025439"
"25448 (1999 XJ4)","04:35:48.62","+18 46'39.8""","-9.1e+2","8.0e+3","8.3e+3","20.2","1.1e+1","9.4e-1","25448","a0025448"
"25616 Riinuots (2000 AJ32)","04:15:39.83","+13 22'01.3""","-2.0e+4","-1.0e+4","2.2e+4","18.3","2.3e+1","5.3e+0","25616","a0025616"
"25668 (2000 AY94)","04:41:59.39","+21 17'28.1""","4.0e+3","2.0e+4","1.8e+4","19.4","1.5e+1","2.0e+0","25668","a0025668"
"25678 Ericfoss (2000 AU105)","04:42:32.50","+14 08'02.7""","5.0e+3","-8.0e+3","9.8e+3","19.4","1.9e+1","-5.0e+0","25678","a0025678"
"25692 (2000 AJ124)","04:48:15.71","+14 23'37.8""","1.0e+4","-7.0e+3","1.2e+4","19.1","1.1e+1","-3.3e+0","25692","a0025692"
"25711 Lebovits (2000 AE152)","05:00:24.01","+18 48'51.8""","2.0e+4","8.0e+3","2.2e+4","18.9","4.1e+1","2.4e+0","25711","a0025711"
"25780 (2000 CS37)","04:41:43.87","+19 46'04.5""","4.0e+3","1.0e+4","1.3e+4","18.2","3.0e+1","9.2e-1","25780","a0025780"
"25910 (2001 BM50)","04:18:07.67","+19 29'39.1""","-2.0e+4","1.0e+4","1.9e+4","19.4","-1.2e+0","4.3e+0","25910","a0025910"
"25944 Charlesross (2001 EP10)","04:18:57.71","+17 03'26.4""","-2.0e+4","2.0e+3","1.6e+4","18.8","9.9e+0","7.7e-1","25944","a0025944"
"26176 (1996 GD2)","04:45:35.16","+16 20'52.7""","8.0e+3","-4.6e+2","7.5e+3","19.4","1.8e+1","-5.7e+0","26176","a0026176"
"26179 (1996 GL3)","04:37:41.12","+18 46'51.4""","7.1e+2","8.0e+3","8.3e+3","19.6","1.6e+1","2.7e+0","26179","a0026179"
"26202 (1997 GD42)","04:58:14.17","+16 30'27.8""","2.0e+4","1.2e+2","1.8e+4","19.1","2.4e+1","-4.7e+0","26202","a0026202"
"26203 (1997 KS)","04:33:55.30","+21 22'15.8""","-3.0e+3","2.0e+4","1.8e+4","18.9","1.4e+1","-2.2e+0","26203","a0026203"
"26325 (1998 VD29)","04:53:11.45","+16 57'59.7""","1.0e+4","2.0e+3","1.4e+4","17.6","1.7e+1","1.0e+1","26325","a0026325"
"26341 (1998 XK9)","04:30:42.04","+16 01'49.5""","-5.0e+3","-2.0e+3","5.6e+3","19.2","1.4e+1","2.7e+0","26341","a0026341"
"26397 Carolynsinow (1999 VB185)","04:19:16.21","+18 57'41.4""","-2.0e+4","9.0e+3","1.8e+4","19.4","1.5e+1","-1.9e+0","26397","a0026397"
"26411 Jocorbferg (1999 XA40)","04:38:41.50","+19 49'24.1""","2.0e+3","1.0e+4","1.2e+4","19.0","2.6e+1","-3.5e+0","26411","a0026411"
"26464 (2000 AA138)","04:44:52.31","+12 10'11.7""","7.0e+3","-2.0e+4","1.7e+4","19.8","1.1e+1","-3.9e+0","26464","a0026464"
"26479 (2000 AE198)","04:20:00.05","+15 24'14.4""","-1.0e+4","-4.0e+3","1.5e+4","19.2","2.8e+0","-5.9e+0","26479","a0026479"
"26494 (2000 BR22)","05:00:58.46","+18 40'25.4""","2.0e+4","8.0e+3","2.2e+4","19.4","1.9e+1","5.1e-1","26494","a0026494"
"26498 Dinotina (2000 CV1)","04:41:53.83","+14 25'17.4""","4.0e+3","-7.0e+3","8.6e+3","19.3","1.2e+1","-4.8e+0","26498","a0026498"
"26537 Shyamalbuch (2000 DA5)","05:02:23.34","+22 46'18.2""","2.0e+4","2.0e+4","3.1e+4","19.9","1.7e+1","6.4e+0","26537","a0026537"
"26553 (2000 DO75)","04:14:28.53","+20 09'04.5""","-2.0e+4","1.0e+4","2.3e+4","19.8","3.0e+0","1.3e+0","26553","a0026553"
"26690 (2001 FS57)","04:28:19.29","+18 09'32.0""","-7.0e+3","6.0e+3","9.5e+3","19.7","7.7e+0","1.8e+0","26690","a0026690"
"26702 Naber (2001 FK143)","04:59:17.13","+18 31'57.9""","2.0e+4","7.0e+3","2.1e+4","18.9","1.0e+1","3.4e+0","26702","a0026702"
"26810 (1985 CL2)","04:52:43.21","+20 35'15.2""","1.0e+4","1.0e+4","2.0e+4","19.4","2.0e+1","1.2e+0","26810","a0026810"
"26899 (1995 UQ3)","04:45:39.94","+22 59'09.0""","8.0e+3","2.0e+4","2.5e+4","18.5","2.1e+1","2.5e+0","26899","a0026899"
"27063 Richardmontano (1998 SY60)","04:14:33.00","+15 33'52.8""","-2.0e+4","-3.0e+3","2.0e+4","19.2","2.3e+1","-1.6e+0","27063","a0027063"
"27076 (1998 ST146)","04:33:17.85","+20 45'34.3""","-3.0e+3","2.0e+4","1.6e+4","18.0","2.8e+1","7.8e+0","27076","a0027076"
"27114 Lukasiewicz (1998 WG2)","04:29:43.55","+19 10'21.5""","-6.0e+3","1.0e+4","1.1e+4","19.7","1.3e+1","5.8e-1","27114","a0027114"
"27414 (2000 EY139)","04:17:06.98","+12 10'55.3""","-2.0e+4","-2.0e+4","2.3e+4","18.9","3.8e+0","-9.9e-1","27414","a0027414"
"27598 (2001 DZ28)","04:43:25.70","+22 06'13.7""","6.0e+3","2.0e+4","2.1e+4","20.1","6.1e+0","2.2e+0","27598","a0027598"
"27636 (4778 P-L)","04:51:46.79","+17 24'05.7""","1.0e+4","3.0e+3","1.3e+4","19.8","2.0e+1","-3.4e+0","27636","a0027636"
"27719 Fast (1989 SR3)","04:38:31.82","+18 50'23.5""","1.0e+3","9.0e+3","8.6e+3","18.9","1.1e+1","1.3e+0","27719","a0027719"
"27875 (1996 BL3)","05:01:35.61","+16 43'22.4""","2.0e+4","8.9e+2","2.1e+4","19.9","2.2e+1","-2.8e+0","27875","a0027875"
"27890 (1996 GG18)","04:09:32.67","+19 38'41.1""","-2.0e+4","1.0e+4","2.6e+4","19.0","8.5e+0","-1.9e+0","27890","a0027890"
"27892 (1996 HG25)","04:15:06.91","+18 35'11.0""","-2.0e+4","8.0e+3","2.0e+4","19.1","1.7e+1","2.9e+0","27892","a0027892"
"28037 Williammonts (1998 FS33)","04:36:43.48","+20 36'17.9""","-1.2e+2","1.0e+4","1.5e+4","19.4","2.9e+1","4.4e+0","28037","a0028037"
"28100 (1998 RG69)","04:24:46.18","+17 56'11.9""","-1.0e+4","5.0e+3","1.2e+4","18.6","1.5e+1","-8.6e-1","28100","a0028100"
"28158 (1998 VT6)","04:33:05.61","+17 16'52.3""","-3.0e+3","3.0e+3","4.4e+3","18.2","3.4e+1","3.7e+0","28158","a0028158"
"28160 (1998 VC11)","04:16:45.15","+19 39'13.7""","-2.0e+4","1.0e+4","2.1e+4","19.4","1.2e+1","-2.6e+0","28160","a0028160"
"28459 (2000 AW144)","04:19:29.83","+19 40'31.6""","-1.0e+4","1.0e+4","1.9e+4","20.8","1.8e+0","-2.7e-1","28459","a0028459"
"28482 Bauerle (2000 CK29)","04:22:21.74","+19 28'32.3""","-1.0e+4","1.0e+4","1.6e+4","20.6","4.2e+0","-6.2e-1","28482","a0028482"
"28531 Nikbogdanov (2000 DW71)","04:27:54.14","+17 28'11.4""","-8.0e+3","4.0e+3","8.5e+3","19.8","1.0e+1","-2.0e+0","28531","a0028531"
"28572 Salebreton (2000 EH79)","04:50:23.62","+16 27'04.1""","1.0e+4","-8.9e+1","1.2e+4","20.0","1.3e+1","-1.0e+0","28572","a0028572"
"28697 Eitanacks (2000 GZ88)","04:25:08.80","+15 45'41.5""","-1.0e+4","-3.0e+3","1.0e+4","19.4","1.2e+1","-5.3e-1","28697","a0028697"
"28940 (2000 UD1)","04:45:19.95","+20 36'36.7""","7.0e+3","1.0e+4","1.7e+4","19.9","8.2e+0","1.7e+0","28940","a0028940"
"28953 Hollyerickson (2000 YL37)","04:36:10.47","+22 52'32.1""","-5.9e+2","2.0e+4","2.3e+4","19.5","2.1e+1","2.6e+0","28953","a0028953"
"28955 Kaliadeborah (2000 YZ58)","04:17:05.02","+22 43'47.4""","-2.0e+4","2.0e+4","2.8e+4","20.7","8.7e+0","2.8e+0","28955","a0028955"
"28989 Lenaadams (2001 MZ24)","04:52:17.38","+18 52'50.5""","1.0e+4","9.0e+3","1.6e+4","18.6","3.1e+1","6.5e+0","28989","a0028989"
"29030 (1034 T-1)","04:38:21.50","+19 31'12.1""","1.0e+3","1.0e+4","1.1e+4","18.8","3.0e+1","-1.9e+0","29030","a0029030"
"29053 Muskau (4466 T-2)","04:59:35.05","+22 13'21.7""","2.0e+4","2.0e+4","2.8e+4","20.2","1.0e+1","2.3e+0","29053","a0029053"
"29191 (1990 UQ5)","04:18:22.88","+15 32'44.7""","-2.0e+4","-3.0e+3","1.6e+4","19.1","2.5e+1","7.6e+0","29191","a0029191"
"29211 (1991 RY15)","04:12:46.33","+17 12'48.3""","-2.0e+4","3.0e+3","2.1e+4","18.3","7.7e+0","-4.8e-1","29211","a0029211"
"29212 Zeeman (1991 RA41)","04:26:57.76","+22 41'03.4""","-9.0e+3","2.0e+4","2.4e+4","19.5","9.3e+0","4.5e+0","29212","a0029212"
"29375 (1996 GN17)","04:59:52.97","+21 08'06.6""","2.0e+4","2.0e+4","2.6e+4","20.1","2.4e+1","1.1e+0","29375","a0029375"
"29387 (1996 JC6)","04:58:35.21","+18 55'00.7""","2.0e+4","9.0e+3","2.1e+4","19.5","2.1e+1","-2.8e-1","29387","a0029387"
"29511 (1997 YP3)","04:43:19.08","+20 46'40.7""","6.0e+3","2.0e+4","1.6e+4","19.5","1.5e+1","8.8e-1","29511","a0029511"
"29656 Leejoseph (1998 WA12)","04:46:52.86","+19 17'15.9""","9.0e+3","1.0e+4","1.3e+4","19.3","3.1e+1","4.6e-2","29656","a0029656"
"29992 Yasminezubi (2000 AY39)","04:56:13.99","+18 26'04.6""","2.0e+4","7.0e+3","1.8e+4","20.1","1.6e+1","1.6e+0","29992","a0029992"
"30018 (2000 CX101)","04:49:27.30","+11 40'12.0""","1.0e+4","-2.0e+4","2.0e+4","20.1","9.6e+0","-6.4e+0","30018","a0030018"
"30021 (2000 DP6)","05:00:48.82","+18 42'46.3""","2.0e+4","8.0e+3","2.2e+4","20.2","2.2e+1","7.9e-1","30021","a0030021"
"30030 Joycekang (2000 DY61)","04:54:19.19","+19 26'18.9""","2.0e+4","1.0e+4","1.8e+4","21.3","1.5e+1","-5.2e-1","30030","a0030030"
"30059 (2000 ET59)","04:38:38.78","+19 33'17.5""","2.0e+3","1.0e+4","1.1e+4","20.7","2.1e+1","4.5e-2","30059","a0030059"
"30201 Caruana (2000 GA105)","04:49:06.10","+18 22'59.8""","1.0e+4","7.0e+3","1.3e+4","20.6","1.2e+1","-1.5e+0","30201","a0030201"
"30241 Donnamower (2000 HN8)","04:18:04.46","+19 59'28.0""","-2.0e+4","1.0e+4","2.0e+4","19.4","1.7e+1","4.3e-2","30241","a0030241"
"30389 Ledoux (2000 KW17)","04:28:42.89","+20 42'53.6""","-7.0e+3","2.0e+4","1.7e+4","19.8","1.0e+1","3.6e+0","30389","a0030389"
"30889 (1993 FU6)","04:13:32.20","+18 57'42.1""","-2.0e+4","9.0e+3","2.2e+4","19.4","5.9e+0","2.0e+0","30889","a0030889"
"31022 (1996 FJ9)","05:03:21.71","+20 17'56.6""","2.0e+4","1.0e+4","2.6e+4","18.8","2.6e+1","-2.4e-1","31022","a0031022"
"31131 (1997 SV10)","04:16:17.48","+17 23'56.7""","-2.0e+4","3.0e+3","1.8e+4","19.4","1.1e+1","-3.4e+0","31131","a0031131"
"31184 (1997 YZ4)","05:02:26.11","+21 28'28.7""","2.0e+4","2.0e+4","2.8e+4","19.0","2.6e+1","6.7e+0","31184","a0031184"
"31237 (1998 CY4)","04:23:31.71","+20 56'07.0""","-1.0e+4","2.0e+4","2.0e+4","19.5","1.1e+1","1.4e+0","31237","a0031237"
"31405 (1999 AD2)","04:51:47.10","+21 28'09.5""","1.0e+4","2.0e+4","2.2e+4","19.3","1.9e+1","6.3e+0","31405","a0031405"
"31510 Saumya (1999 CQ85)","04:24:26.29","+17 15'42.1""","-1.0e+4","3.0e+3","1.1e+4","19.4","2.7e+1","8.0e+0","31510","a0031510"
"31595 Noahpritt (1999 FS45)","04:55:14.69","+18 52'05.8""","2.0e+4","9.0e+3","1.8e+4","18.7","3.5e+1","2.7e+0","31595","a0031595"
"31613 Adamgreenberg (1999 GO8)","04:55:01.86","+19 10'03.3""","2.0e+4","1.0e+4","1.8e+4","19.1","2.3e+1","3.0e+0","31613","a0031613"
"31619 Jodietinker (1999 GU18)","04:21:15.74","+17 38'52.6""","-1.0e+4","4.0e+3","1.4e+4","19.4","1.5e+1","4.9e+0","31619","a0031619"
"31643 Natashachugh (1999 GE41)","04:39:45.95","+16 27'58.8""","3.0e+3","-3.4e+1","2.5e+3","19.3","2.1e+1","1.1e+0","31643","a0031643"
"31875 Saksena (2000 EG136)","04:15:10.31","+17 13'28.4""","-2.0e+4","3.0e+3","1.9e+4","20.9","1.1e+1","-1.5e+0","31875","a0031875"
"32005 Roberthalfon (2000 HG52)","04:14:20.78","+20 48'54.4""","-2.0e+4","2.0e+4","2.5e+4","19.0","2.2e+1","8.0e+0","32005","a0032005"
"32138 (2000 LQ19)","04:22:36.65","+20 11'52.5""","-1.0e+4","1.0e+4","1.8e+4","17.5","1.7e+1","-7.5e+0","32138","a0032138"
"32201 (2000 OZ2)","04:45:46.30","+22 25'07.3""","8.0e+3","2.0e+4","2.3e+4","19.8","1.5e+1","4.8e+0","32201","a0032201"
"32588 (2001 QD124)","04:34:22.70","+22 57'50.9""","-2.0e+3","2.0e+4","2.3e+4","20.8","1.4e+1","6.1e+0","32588","a0032588"
"32646 (3010 P-L)","04:25:20.65","+20 59'56.3""","-1.0e+4","2.0e+4","1.9e+4","18.5","1.1e+1","-6.2e+0","32646","a0032646"
"32851 (1992 RC6)","04:59:59.19","+20 24'55.5""","2.0e+4","1.0e+4","2.4e+4","19.5","1.7e+1","1.4e+0","32851","a0032851"
"32860 (1993 FG5)","04:53:03.61","+22 13'20.2""","1.0e+4","2.0e+4","2.5e+4","20.2","1.5e+1","4.0e+0","32860","a0032860"
"32973 (1996 TN11)","04:10:59.89","+17 46'24.0""","-2.0e+4","5.0e+3","2.3e+4","19.0","1.1e+1","9.4e-1","32973","a0032973"
"33109 (1998 AB2)","04:35:52.78","+13 16'17.0""","-8.5e+2","-1.0e+4","1.2e+4","19.2","2.0e+1","-5.9e-1","33109","a0033109"
"33137 Strejcek (1998 DO1)","04:13:52.54","+18 10'38.6""","-2.0e+4","6.0e+3","2.1e+4","19.6","8.5e+0","3.3e+0","33137","a0033137"
"33250 (1998 HO23)","04:58:20.73","+12 47'34.6""","2.0e+4","-1.0e+4","2.3e+4","19.7","1.2e+1","-5.5e+0","33250","a0033250"
"33309 (1998 KY53)","04:29:59.38","+09 56'49.4""","-6.0e+3","-2.0e+4","2.4e+4","19.0","7.1e+0","-3.3e+0","33309","a0033309"
"33314 (1998 KX60)","04:59:27.28","+11 40'19.5""","2.0e+4","-2.0e+4","2.6e+4","18.6","1.7e+1","-7.7e-1","33314","a0033314"
"33323 Lucaspaganini (1998 QN53)","05:04:51.68","+17 09'05.0""","2.0e+4","2.0e+3","2.4e+4","18.9","8.5e+0","-5.8e+0","33323","a0033323"
"33333 (1998 SP66)","04:55:49.69","+20 27'39.4""","2.0e+4","1.0e+4","2.2e+4","19.7","1.7e+1","5.8e+0","33333","a0033333"
"33396 Vrindamadan (1999 CU56)","04:46:40.12","+10 58'57.4""","8.0e+3","-2.0e+4","2.2e+4","18.8","2.3e+1","-5.9e+0","33396","a0033396"
"33405 Rekhtman (1999 CW73)","04:22:05.33","+19 12'09.7""","-1.0e+4","1.0e+4","1.6e+4","19.3","3.4e+1","7.2e-2","33405","a0033405"
"33467 Johnlieb (1999 FG35)","04:57:28.93","+18 38'25.3""","2.0e+4","8.0e+3","1.9e+4","20.1","1.4e+1","-1.5e+0","33467","a0033467"
"33553 Nagai (1999 JQ17)","04:26:03.71","+12 54'38.0""","-9.0e+3","-1.0e+4","1.6e+4","19.4","9.5e+0","-3.6e+0","33553","a0033553"
"33556 Brennanclark (1999 JR20)","04:11:53.79","+21 26'59.4""","-2.0e+4","2.0e+4","2.8e+4","18.5","1.8e+1","9.5e+0","33556","a0033556"
"33572 Mandolin (1999 JF32)","04:25:12.97","+17 00'02.5""","-1.0e+4","2.0e+3","1.0e+4","19.2","1.7e+1","3.3e+0","33572","a0033572"
"33720 (1999 LD27)","04:51:09.45","+11 15'31.7""","1.0e+4","-2.0e+4","2.3e+4","18.8","1.2e+1","-3.1e-1","33720","a0033720"
"33785 (1999 RD192)","04:42:03.80","+18 42'09.5""","4.0e+3","8.0e+3","9.2e+3","18.5","1.0e+1","2.2e+0","33785","a0033785"
"33839 (2000 GQ58)","04:35:46.69","+20 12'21.6""","-9.3e+2","1.0e+4","1.3e+4","19.7","1.7e+1","-4.1e-1","33839","a0033839"
"33844 (2000 GQ133)","04:43:37.47","+12 35'01.1""","6.0e+3","-1.0e+4","1.5e+4","19.9","1.7e+1","-7.3e+0","33844","a0033844"
"33920 Trivisonno (2000 LZ20)","04:48:41.10","+19 04'03.7""","1.0e+4","9.0e+3","1.4e+4","19.6","1.6e+1","-3.6e+0","33920","a0033920"
"33922 (2000 LB23)","05:01:28.72","+21 41'01.7""","2.0e+4","2.0e+4","2.8e+4","19.7","1.6e+1","-2.9e+0","33922","a0033922"
"33958 Zaferiou (2000 NK5)","04:57:26.43","+14 04'07.8""","2.0e+4","-9.0e+3","2.0e+4","18.7","2.6e+1","-2.0e+0","33958","a0033958"
"33963 Moranhidalgo (2000 NA10)","04:40:33.77","+12 05'54.6""","3.0e+3","-2.0e+4","1.6e+4","19.0","2.2e+1","-8.6e-1","33963","a0033963"
"34000 Martinmatl (2000 OL4)","04:17:58.68","+21 22'59.5""","-2.0e+4","2.0e+4","2.4e+4","19.0","8.3e+0","-1.6e+0","34000","a0034000"
"34030 Tabuchi (2000 OM26)","04:43:31.69","+15 53'22.5""","6.0e+3","-2.0e+3","6.1e+3","19.0","2.4e+1","1.6e+0","34030","a0034030"
"34090 Cewhang (2000 PG10)","05:00:12.32","+22 03'34.1""","2.0e+4","2.0e+4","2.8e+4","20.0","2.3e+1","7.8e+0","34090","a0034090"
"34103 Suganthkannan (2000 PP17)","04:36:05.94","+22 28'44.6""","-6.6e+2","2.0e+4","2.2e+4","19.6","1.4e+1","5.2e+0","34103","a0034103"
"34108 (2000 PN23)","04:15:00.35","+19 30'24.6""","-2.0e+4","1.0e+4","2.2e+4","18.8","1.8e+1","2.7e+0","34108","a0034108"
"34334 Georgiagrace (2000 QG212)","04:26:28.21","+18 13'52.3""","-9.0e+3","6.0e+3","1.1e+4","19.9","1.1e+1","-1.8e-1","34334","a0034334"
"34384 (2000 RW61)","05:01:25.82","+18 26'53.2""","2.0e+4","7.0e+3","2.2e+4","18.5","1.5e+1","4.6e+0","34384","a0034384"
"34403 Sessin (2000 RP85)","04:50:31.58","+19 00'10.5""","1.0e+4","9.0e+3","1.5e+4","19.9","1.5e+1","-5.1e-2","34403","a0034403"
"34408 Simonanghel (2000 RX94)","04:25:34.87","+18 39'26.5""","-1.0e+4","8.0e+3","1.2e+4","19.1","1.2e+1","2.2e+0","34408","a0034408"
"34624 (2000 UB62)","04:47:03.09","+22 44'17.4""","9.0e+3","2.0e+4","2.4e+4","19.3","1.5e+1","-2.9e+0","34624","a0034624"
"34753 Zdenekmatyas (2001 QU110)","04:11:39.85","+15 27'55.1""","-2.0e+4","-4.0e+3","2.2e+4","20.4","1.1e+1","-5.0e+0","34753","a0034753"
"34911 (4288 P-L)","04:52:22.12","+17 38'04.9""","1.0e+4","4.0e+3","1.4e+4","19.9","2.0e+1","-4.5e+0","34911","a0034911"
"35075 (1989 XW1)","04:41:40.20","+10 57'39.1""","4.0e+3","-2.0e+4","2.0e+4","18.5","1.8e+1","-9.2e+0","35075","a0035075"
"35091 (1990 WC2)","04:46:09.28","+12 44'29.4""","8.0e+3","-1.0e+4","1.6e+4","19.5","1.8e+1","-9.8e+0","35091","a0035091"
"35126 (1992 EM25)","04:15:35.33","+16 22'44.2""","-2.0e+4","-3.5e+2","1.8e+4","19.9","1.0e+1","-2.4e+0","35126","a0035126"
"35144 (1992 YE1)","04:35:04.29","+17 58'34.4""","-2.0e+3","5.0e+3","5.6e+3","18.0","2.6e+1","6.1e+0","35144","a0035144"
"35258 (1996 HN23)","04:27:09.81","+18 09'39.7""","-8.0e+3","6.0e+3","1.0e+4","20.1","1.3e+1","2.6e+0","35258","a0035258"
"35280 (1996 SQ1)","04:55:33.60","+20 55'26.8""","2.0e+4","2.0e+4","2.3e+4","20.4","2.1e+1","-9.8e-1","35280","a0035280"
"35334 Yarkovsky (1997 FO1)","04:17:36.34","+15 57'24.3""","-2.0e+4","-2.0e+3","1.7e+4","19.4","8.8e+0","-1.4e+0","35334","a0035334"
"35393 (1997 XJ5)","04:21:35.71","+18 13'50.1""","-1.0e+4","6.0e+3","1.5e+4","18.9","3.2e+1","-3.8e+0","35393","a0035393"
"35621 Lorius (1998 JD4)","04:12:56.76","+10 23'54.4""","-2.0e+4","-2.0e+4","3.0e+4","19.1","7.6e+0","2.0e+0","35621","a0035621"
"35653 (1998 MF30)","04:44:42.17","+13 38'14.3""","7.0e+3","-1.0e+4","1.2e+4","18.8","9.6e+0","3.4e-1","35653","a0035653"
"35706 (1999 FG25)","04:19:28.01","+14 41'16.5""","-2.0e+4","-6.0e+3","1.6e+4","19.3","1.0e+1","-7.1e-1","35706","a0035706"
"35740 (1999 GK24)","04:38:40.54","+17 47'36.7""","2.0e+3","5.0e+3","5.0e+3","20.1","1.4e+1","-1.5e+0","35740","a0035740"
"35756 (1999 GX58)","04:35:14.76","+10 06'07.8""","-1.0e+3","-2.0e+4","2.3e+4","18.7","1.1e+1","-5.8e+0","35756","a0035756"
"35805 (1999 JP41)","04:10:35.48","+16 35'26.3""","-2.0e+4","4.1e+2","2.3e+4","19.5","7.5e+0","-3.8e+0","35805","a0035805"
"35816 (1999 JU49)","04:57:14.06","+18 58'54.1""","2.0e+4","9.0e+3","2.0e+4","19.6","2.8e+1","3.9e+0","35816","a0035816"
"35888 (1999 JS80)","05:04:57.55","+11 59'11.1""","2.0e+4","-2.0e+4","2.9e+4","18.5","2.5e+1","-1.5e+1","35888","a0035888"
"35934 (1999 JZ120)","04:43:09.42","+16 08'15.7""","5.0e+3","-1.0e+3","5.6e+3","19.8","1.7e+1","3.1e+0","35934","a0035934"
"35954 (1999 KY15)","04:41:57.04","+21 42'11.0""","4.0e+3","2.0e+4","1.9e+4","19.5","1.5e+1","-4.9e-1","35954","a0035954"
"35958 (1999 LF4)","04:22:59.31","+20 15'40.4""","-1.0e+4","1.0e+4","1.8e+4","18.6","1.2e+1","-3.2e+0","35958","a0035958"
"35967 (1999 LG14)","04:40:22.69","+18 48'08.5""","3.0e+3","8.0e+3","8.9e+3","19.2","1.4e+1","-4.6e+0","35967","a0035967"
"35974 (1999 LW26)","04:24:32.02","+12 32'38.3""","-1.0e+4","-1.0e+4","1.8e+4","18.8","1.2e+1","-2.4e+0","35974","a0035974"
"36033 Viseggi (1999 OC1)","04:53:38.86","+12 36'26.5""","1.0e+4","-1.0e+4","2.0e+4","20.2","1.2e+1","-5.9e+0","36033","a0036033"
"36058 (1999 RM35)","04:41:25.76","+19 42'09.7""","4.0e+3","1.0e+4","1.2e+4","19.5","7.8e+0","-1.0e+0","36058","a0036058"
"36095 (1999 RL109)","04:22:24.46","+18 17'44.9""","-1.0e+4","7.0e+3","1.4e+4","18.4","1.2e+1","-6.5e+0","36095","a0036095"
"36171 (1999 RM242)","05:03:45.70","+14 48'22.0""","2.0e+4","-6.0e+3","2.4e+4","19.9","1.2e+1","-2.1e+0","36171","a0036171"
"36222 (1999 TG246)","04:19:50.99","+13 09'30.0""","-1.0e+4","-1.0e+4","1.9e+4","18.5","4.9e+0","-3.1e+0","36222","a0036222"
"36312 (2000 KO50)","04:33:24.65","+12 39'53.8""","-3.0e+3","-1.0e+4","1.4e+4","19.9","1.2e+1","-2.1e+0","36312","a0036312"
"36328 (2000 LR35)","04:44:53.19","+22 15'15.8""","7.0e+3","2.0e+4","2.2e+4","18.9","3.4e+1","4.0e-1","36328","a0036328"
"36387 (2000 OR32)","04:33:45.85","+16 49'11.6""","-3.0e+3","1.0e+3","2.9e+3","18.1","3.8e+1","-4.6e+0","36387","a0036387"
"36430 (2000 PN10)","04:54:31.10","+14 24'39.1""","2.0e+4","-7.0e+3","1.7e+4","19.2","3.4e+1","4.3e+0","36430","a0036430"
